"","Incident_Number","Offence_Code_Group","Latitude","Longtitude","City","Year"
"330","I192071715","Simple Assault",42.31265126,-71.11414509,"Jamaica Plain","2019"
"331","I192071671","Simple Assault",42.27357721,-71.0677043,"Dorchester","2019"
"332","I192071652","Simple Assault",42.33401829,-71.07638124,"South End","2019"
"333","I192071640","Simple Assault",42.29056142,-71.08926028,"Mattapan","2019"
"334","I192071620","Simple Assault",42.33056977,-71.09959089,"Roxbury","2019"
"335","I192071575","Simple Assault",42.35558007,-71.14378251,"Brighton","2019"
"336","I192071525","Simple Assault",42.25474003,-71.13202685,"Hyde Park","2019"
"337","I192071509","Simple Assault",42.35942556,-71.05288819,"Downtown","2019"
"338","I192071455","Simple Assault",42.34827698,-71.07038932,"Downtown","2019"
"339","I192071443","Simple Assault",42.31578,-71.066399,"Roxbury","2019"
"340","I192071440","Simple Assault",42.28716674,-71.07633479,"Mattapan","2019"
"341","I192071426","Simple Assault",42.36112329,-71.06577409,"Downtown","2019"
"342","I192071423","Simple Assault",42.26932098,-71.17204938,"West Roxbury","2019"
"343","I192071422","Simple Assault",42.35085159,-71.04774894,"South Boston","2019"
"344","I192071403","Simple Assault",42.30090969,-71.07425843,"Dorchester","2019"
"345","I192071396","Simple Assault",42.32121288,-71.08175476,"Roxbury","2019"
"346","I192071391","Simple Assault",42.33740281,-71.08221533,"South End","2019"
"347","I192071291","Simple Assault",42.35988372,-71.06016189,"Downtown","2019"
"348","I192071198","Simple Assault",42.37803936,-71.0304617,"East Boston","2019"
"349","I192071195","Simple Assault",42.359287,-71.05379102,"Downtown","2019"
"350","I192071159","Simple Assault",42.31385824,-71.07929233,"Roxbury","2019"
"351","I192071151","Simple Assault",42.35591935,-71.06000539,"Downtown","2019"
"352","I192071139","Simple Assault",42.31519665,-71.06678387,"Roxbury","2019"
"353","I192071106","Simple Assault",42.35094628,-71.06685604,"Downtown","2019"
"354","I192071082","Simple Assault",42.31236298,-71.06890381,"Roxbury","2019"
"355","I192070990","Simple Assault",42.35320826,-71.0464714,"South Boston","2019"
"356","I192070982","Simple Assault",42.33061974,-71.07388234,"Roxbury","2019"
